Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
itil change management process,590,MEDIUM,37,373.01,1326.84,No,
itil 4 foundation training,590,LOW,9,450.68,1535.73,No,
itil certification course,590,MEDIUM,49,181.10,726.18,No,
itil v4 foundation exam,590,LOW,15,284.19,1108.09,No,
itil certification training,590,LOW,29,296.60,917.13,No,
itil foundation test,590,MEDIUM,49,188.27,753.07,No,
itil foundation examination,590,MEDIUM,49,188.27,753.07,No,
itil 4 foundation certification course,480,LOW,4,408.43,1342.08,No,
itil 4 foundation course,480,LOW,7,405.23,1318.77,No,
itil 4 foundation exam voucher,480,MEDIUM,34,183.79,751.29,No,
itil definitions,480,LOW,13,220.54,1292.77,No,
itil v4 foundation,390,MEDIUM,62,212.47,940.44,No,
itil service desk,390,LOW,16,611.07,3140.60,No,
itil best practices,390,LOW,22,376.54,1279.32,No,
it infrastructure library,390,MEDIUM,41,300.95,1566.66,No,
itil helpdesk,390,LOW,16,611.07,3140.60,No,
itil 4 foundation training course,390,LOW,2,,,No,
itil exam,320,MEDIUM,45,244.03,942.65,No,
itil foundation exam cost,320,MEDIUM,36,177.51,722.25,No,
itil v3 certification,320,LOW,32,146.13,450.64,No,
itil 4 foundation exam cost,320,MEDIUM,59,183.79,665.21,No,
itil itsm,320,LOW,20,375.42,1214.10,No,
servicenow itil,320,LOW,28,562.11,2241.28,No,
itil practices,320,MEDIUM,43,291.37,1649.58,No,
itil foundation certification cost,320,MEDIUM,53,135.83,497.28,No,
itil practice exam,320,LOW,33,102.94,632.04,No,
itil certification exam cost,320,MEDIUM,36,177.51,722.25,No,
itil mock exam,320,LOW,33,102.94,632.04,No,
itil practice test,320,LOW,33,102.94,632.04,No,
servicenow and itil,320,LOW,28,562.11,2241.28,No,
itil in servicenow,320,LOW,28,562.11,2241.28,No,
itil mock test,320,LOW,33,102.94,632.04,No,
itil service continuity management,320,LOW,4,,,No,
itil and servicenow,320,LOW,28,562.11,2241.28,No,
itil v3 training,320,LOW,32,146.13,450.64,Yes,Flexi
itil test exam,320,MEDIUM,45,244.03,942.65,No,
itil examination,320,MEDIUM,45,244.03,942.65,No,
itil foundation certification price,320,MEDIUM,53,135.83,497.28,No,
itil foundation exam price,320,MEDIUM,36,177.51,722.25,No,
itil certification free,260,MEDIUM,55,82.48,384.26,No,
itil release management,260,MEDIUM,33,348.74,1611.93,No,
itil 4 practice exam,260,MEDIUM,44,155.10,678.80,No,
itil methodology,260,LOW,30,147.99,831.07,No,
itil configuration management,260,LOW,28,760.24,2127.39,No,
itil change management best practices,260,MEDIUM,61,320.43,1268.56,No,
itil standards,260,LOW,27,164.96,831.96,No,
itil free course,260,MEDIUM,55,82.48,384.26,No,
itil training free,260,MEDIUM,55,82.48,384.26,No,
configuration management itsm,260,LOW,28,760.24,2127.39,No,
itil foundation training,210,LOW,31,307.50,1465.40,Yes,Flexi
itil 4 certification cost,210,MEDIUM,57,159.78,575.53,No,
itil incident management process,210,MEDIUM,49,526.25,1882.68,No,
itil v3 foundation,210,MEDIUM,46,171.30,757.38,No,
itil peoplecert,210,MEDIUM,53,320.95,19806.72,No,
itil 4 foundation certification exam,210,LOW,5,259.99,916.24,No,
itil stand for,210,LOW,5,114.75,1891.22,No,
itsm best practice,210,MEDIUM,48,574.66,1862.06,No,
itil 4 certification training,170,LOW,4,191.85,521.67,No,
itil foundation course,170,LOW,26,262.68,987.96,Yes,Flexi
itil 4 exam,170,MEDIUM,50,239.37,982.12,No,
itil 4 foundation practice exam,170,LOW,9,137.17,896.42,No,
axelos itil,170,MEDIUM,53,354.12,1655.86,No,
itil training online,170,MEDIUM,41,410.60,1121.40,No,
itil services,170,LOW,16,468.88,2096.05,No,
itil service catalogue,170,MEDIUM,56,886.65,2241.28,No,
itil service strategy,170,LOW,6,402.53,1559.85,No,
itil foundation practice exam,170,MEDIUM,35,131.79,701.97,No,
itil portfolio management,170,LOW,26,371.91,1550.97,No,
itil training courses online,170,MEDIUM,41,410.60,1121.40,No,
itil foundation cert,170,MEDIUM,49,212.47,807.76,No,
itil foundation exam voucher,170,LOW,18,229.51,908.17,No,
itil foundation mock exam,170,MEDIUM,35,131.79,701.97,No,
itil 4 training,140,MEDIUM,59,473.36,1532.14,Yes,Bouquet INR - 2
itsm itil,140,MEDIUM,44,679.85,3035.25,No,
itil exam cost,140,MEDIUM,49,138.04,609.32,No,
itil foundation exam online,140,HIGH,77,206.17,807.80,No,
itil cmdb,140,MEDIUM,40,571.97,3215.15,No,
itil v4 foundation certification,140,MEDIUM,63,245.64,760.09,No,
itil management,140,MEDIUM,44,273.44,1068.36,No,
itil v3 foundation certification,140,MEDIUM,40,146.19,514.60,No,
itil foundation certification exam,140,LOW,21,212.72,815.83,No,
itil latest version,140,MEDIUM,40,253.71,1613.72,No,
continual service improvement,140,LOW,3,,,No,
current itil version,140,MEDIUM,40,253.71,1613.72,No,
itil foundation certification course,140,LOW,5,349.64,1181.99,No,
itil test cost,140,MEDIUM,49,138.04,609.32,No,
itil v4 certification cost,110,HIGH,72,129.10,699.04,No,
itil certification online,110,HIGH,89,250.13,734.24,No,
itil 4 framework,110,MEDIUM,43,342.47,1297.25,No,
itil project management,110,MEDIUM,52,351.43,1915.85,No,
itil itsm framework,110,LOW,9,255.51,1212.80,No,
itil and itsm,110,MEDIUM,41,507.09,2024.50,No,
itil service transition,110,LOW,33,300.33,1409.32,No,
itil based,110,MEDIUM,39,155.99,1377.04,No,
itil in project management,110,MEDIUM,52,351.43,1915.85,No,
itil 4 practices,90,LOW,24,266.75,1794.82,No,
open source itsm,90,HIGH,73,802.38,2898.71,No,
itil course online,90,MEDIUM,60,371.16,967.34,No,
axelos itil v4,90,MEDIUM,64,455.43,1848.52,No,
itil foundation certificate in it service management,90,MEDIUM,58,187.11,871.41,No,
itil service management framework,90,MEDIUM,38,424.47,1589.52,No,
itil 4 managing professional,90,HIGH,69,247.44,1667.59,No,
axelos itil certification,90,LOW,32,269.91,934.53,No,
itil foundation itil 4 edition,90,HIGH,81,169.20,1183.40,No,
itil framework explained,90,LOW,33,55.58,1464.90,No,
itil master,90,MEDIUM,37,236.43,1309.80,No,
itil overview,90,MEDIUM,35,268.06,1108.99,No,
itil exam voucher,90,HIGH,100,176.25,853.32,No,
itil certification course online,90,MEDIUM,60,371.16,967.34,No,
itil service delivery,90,MEDIUM,39,420.75,1960.86,No,
itil agile,90,LOW,9,544.18,3098.35,No,
itil 4 cert,90,MEDIUM,59,266.26,864.60,No,
itil 4 certificate,90,MEDIUM,59,266.26,864.60,No,
itil and agile,90,LOW,9,544.18,3098.35,No,
itil foundation training course,90,LOW,9,,,No,
axelos itil foundation,90,MEDIUM,56,273.44,1360.01,No,
itil certification training online,90,MEDIUM,60,371.16,967.34,No,
itil service delivery framework,90,MEDIUM,39,420.75,1960.86,No,
peoplecert itil 4 foundation exam voucher,90,LOW,5,251.92,763.63,No,
itil cobit,90,LOW,6,,,No,
itil v4 exam cost,70,MEDIUM,54,140.75,462.53,No,
axelos itil 4,70,MEDIUM,64,234.51,1568.54,No,
itil foundation 4,70,MEDIUM,64,212.47,1323.17,No,
peoplecert itil 4,70,HIGH,67,309.30,11937.90,No,
itil process framework,70,MEDIUM,60,334.40,1266.77,No,
itil v4 practice exam,70,LOW,29,94.13,432.74,No,
itil fundamentals,70,MEDIUM,56,193.31,728.86,No,
itil 4 certification exam,70,MEDIUM,61,199.92,821.42,No,
itil managing professional,70,MEDIUM,61,241.57,1959.79,No,
itil 4 foundation certification cost,70,MEDIUM,53,144.34,590.21,No,
itil 3,70,MEDIUM,49,241.16,878.87,No,
itil 4 certification path,70,MEDIUM,45,172.29,514.71,No,
pink elephant itil,70,MEDIUM,50,517.17,2241.28,No,
itil v4 foundations,70,MEDIUM,63,252.04,928.79,No,
itil test,70,MEDIUM,46,206.52,839.90,No,
itil 4 foundation book,70,HIGH,100,65.45,1305.32,No,
itil v3 processes,70,LOW,24,315.57,896.51,No,
itil service operation,70,LOW,20,330.31,896.51,No,
itil 4 exam voucher,70,HIGH,88,220.54,897.52,No,
itil standard change,70,MEDIUM,36,429.43,1948.04,No,
itil service level management,70,LOW,25,281.50,1567.19,No,
itil best practices for incident management,70,LOW,32,316.47,1069.21,No,
peoplecert itil 4 foundation,70,MEDIUM,63,395.36,15120.49,No,
axelos certification,70,MEDIUM,42,261.74,926.71,No,
pink elephant itsm,70,MEDIUM,50,517.17,2241.28,No,
itil 4 certification course,70,MEDIUM,41,323.64,2126.51,No,
itil it operations management,70,LOW,21,,,No,
itil 4 managing professional certification,70,LOW,23,243.85,820.94,No,
itil it operations,70,LOW,21,,,No,
itil certification price,50,MEDIUM,65,131.45,385.75,No,
itil v4 exam,50,HIGH,74,258.72,851.26,No,
itil version 4,50,MEDIUM,57,247.84,1194.15,No,
itil v4 framework,50,MEDIUM,52,323.17,1929.29,No,
itil service management processes,50,LOW,30,420.46,1295.19,No,
cmdb itil,50,MEDIUM,34,2241.28,3218.79,No,
itil 4 exam cost,50,MEDIUM,48,162.00,584.77,No,
itl4,50,MEDIUM,57,190.96,833.92,No,
itil v5,50,LOW,24,383.86,1892.02,No,
itil strategic leader,50,MEDIUM,47,227.71,1554.08,No,
itil v4 processes,50,MEDIUM,40,326.37,1224.41,No,
itil practitioner,50,MEDIUM,42,168.82,768.98,No,
itil process management,50,LOW,29,303.02,742.31,No,
service level management itil 4,50,LOW,11,,,No,
itil expert,50,MEDIUM,53,154.20,719.52,No,
itil foundation course online,50,LOW,33,341.57,1392.07,No,
itl4 certification,50,MEDIUM,58,169.44,597.97,No,
itil 5,50,LOW,25,242.95,1990.21,No,
coursera itil,50,MEDIUM,49,206.20,1012.47,No,
itsm practices,50,MEDIUM,50,173.14,896.51,No,
itil v4 foundation practice exam free,50,LOW,24,93.24,247.21,No,
itil roles,50,LOW,12,344.26,1834.26,No,
itil 4 practice test,50,LOW,33,102.20,693.90,No,
itil master certification,50,MEDIUM,39,163.17,662.62,No,
best itil certification,50,MEDIUM,58,438.50,2362.29,No,
itil v2,50,LOW,15,,,No,
itil release and deployment management,50,MEDIUM,43,371.98,3640.03,No,
itil cds,50,MEDIUM,53,124.62,1843.23,No,
itil 4 foundation certificate,50,MEDIUM,34,270.75,862.45,No,
itil continual improvement,50,LOW,11,551.36,1959.95,No,
itil certification practice test,50,MEDIUM,40,4.38,312.47,No,
itil experience,50,LOW,23,188.27,1961.25,No,
itil certification peoplecert,50,LOW,26,322.74,10521.47,No,
itil foundation training online,50,MEDIUM,48,304.18,1008.53,No,
itil framework change management,50,MEDIUM,55,528.94,1228.22,No,
itil version,50,LOW,22,200.10,1246.15,No,
itil foundation certification online,50,MEDIUM,48,304.18,1008.53,No,
itil systems,50,MEDIUM,49,476.94,2297.76,No,
itil v4 foundations certification,50,HIGH,71,217.05,878.58,No,
cmdb in itil,50,LOW,31,,,No,
itil information security management,50,LOW,24,333.82,2241.28,No,
comptia itil,50,MEDIUM,36,198.13,951.20,No,
itil security management,50,LOW,24,333.82,2241.28,No,
itil continuous improvement,50,LOW,11,551.36,1959.95,No,
itil level,50,MEDIUM,37,149.72,1027.40,No,
peoplecert itil 4 foundation exam,50,LOW,4,,,No,
itil v4 training,40,HIGH,75,389.98,1306.22,No,
itil 4 course,40,HIGH,68,231.30,919.82,No,
service now itil,40,LOW,33,515.49,1652.27,No,
itil v4 practices,40,LOW,22,366.67,1360.54,No,
itil official website,40,MEDIUM,54,236.68,1061.47,No,
itil capacity management,40,MEDIUM,40,698.38,2726.30,No,
itil best practices for service desk,40,LOW,25,,,No,
itil demand management,40,LOW,33,269.85,1600.27,No,
itil 4 processes,40,MEDIUM,46,332.61,1554.64,No,
udemy itil,40,MEDIUM,59,60.07,932.37,No,
itil sla,40,LOW,14,615.01,2543.41,No,
itil change,40,LOW,30,378.33,1959.95,No,
itil foundation certification free,40,HIGH,70,78.00,391.25,No,
itil axelos,40,MEDIUM,49,426.74,1764.34,No,
itil v3 certification cost,40,MEDIUM,40,154.20,845.31,No,
learn itil,40,MEDIUM,61,264.47,1871.92,No,
itil help desk process,40,LOW,21,,,No,
itil it,40,MEDIUM,44,167.73,1554.64,No,
itil service management certification,40,MEDIUM,58,205.62,525.36,No,
itil website,40,MEDIUM,54,211.58,1178.58,No,
itil v3 framework,40,MEDIUM,47,157.79,1006.85,No,
itil cost,40,LOW,31,136.81,645.49,No,
itil specialist create deliver and support,40,HIGH,71,165.86,1351.04,No,
schedule itil 4 exam,40,MEDIUM,59,285.99,1415.08,No,
itil exam registration,40,MEDIUM,66,230.05,1552.72,No,
itil service desk process,40,LOW,21,,,No,
itil continual service improvement,40,MEDIUM,37,293.16,966.44,No,
itil cyber security,40,MEDIUM,35,358.60,1679.17,No,
itil official site,40,MEDIUM,54,236.68,1061.47,No,
cloud based itsm,40,LOW,0,,,No,
servicenow itil certification,40,MEDIUM,61,201.55,704.66,No,
itil best practices framework,40,LOW,17,,,No,
itsm service catalogue,40,MEDIUM,46,1375.25,2932.26,No,
itil expert certification,40,MEDIUM,41,164.71,476.05,No,
itil 4 foundation exam voucher discount,40,HIGH,83,268.95,903.21,No,
itil practice exam free,40,MEDIUM,36,67.24,821.21,No,
itil practitioner certification,40,MEDIUM,45,121.93,599.82,No,
itil mock exam free,40,MEDIUM,36,67.24,821.21,No,
itil certification what is it,40,LOW,10,3.59,304.52,No,
itil sample exam,40,MEDIUM,34,155.09,877.69,No,
itil 4 foundation exam cost peoplecert,40,MEDIUM,51,313.89,16940.67,No,
register for itil exam,40,MEDIUM,66,230.05,1552.72,No,
itil 4.0,30,MEDIUM,60,239.44,736.93,No,
simplilearn itil,30,MEDIUM,61,301.08,1486.42,No,
itil 4 incident management,30,MEDIUM,58,445.57,1878.19,No,
itil v4 foundation exam cost,30,HIGH,74,221.94,803.82,No,
itil 4 change management,30,MEDIUM,45,320.05,1407.52,No,
itil for dummies,30,HIGH,88,43.93,969.13,No,
itil v4 foundation training,30,HIGH,82,311.12,1382.42,No,
itil framework v4,30,MEDIUM,36,320.69,676.87,No,
itil management practices,30,MEDIUM,41,424.93,1960.86,No,
change enablement itil 4,30,LOW,30,158.70,1595.14,No,
dion training itil v4,30,HIGH,71,242.95,1200.16,No,
itil change management certification,30,MEDIUM,45,295.22,718.11,No,
itil bootcamp,30,HIGH,96,341.57,931.48,No,
get itil certification,30,HIGH,77,213.06,921.61,No,
itil 4 strategic leader,30,HIGH,68,263.10,1194.15,No,
itil release management process,30,MEDIUM,50,641.15,4773.44,No,
itil 4 create deliver and support,30,MEDIUM,43,126.41,1969.64,No,
itil v4 certification exam,30,HIGH,71,224.10,789.83,No,
itil framework certification,30,MEDIUM,60,177.51,511.01,No,
itil governance framework,30,MEDIUM,63,342.47,1522.28,No,
itil create deliver and support,30,MEDIUM,47,171.90,1685.44,No,
itil service now,30,MEDIUM,38,410.86,1641.51,No,
itil explained,30,MEDIUM,40,140.75,1568.54,No,
itil based service management,30,HIGH,80,598.87,2500.37,No,
cost of itil 4 foundation exam,30,MEDIUM,62,181.10,537.01,No,
itil support,30,LOW,29,,,No,
itil 4 course online,30,HIGH,86,,,No,
itil exam online,30,MEDIUM,59,154.74,1340.24,No,
itil 4 test,30,MEDIUM,56,219.05,799.69,No,
itil 4 cost,30,MEDIUM,41,119.85,605.15,No,
itil foundation in it service management,30,HIGH,67,280.61,1011.27,No,
itil solutions,30,LOW,29,,,No,
itil library,30,MEDIUM,58,424.70,2484.24,No,
itil 4 direct plan and improve,30,UNSPECIFIED,0,,,No,
itil change enablement,30,LOW,30,431.22,1961.17,No,
jason dion itil,30,MEDIUM,66,187.37,898.31,No,
itil v4 exam voucher,30,HIGH,89,259.99,1385.11,No,
itil foundation cost,30,LOW,30,271.65,903.68,No,
itil foundation v4 certification,30,MEDIUM,54,244.75,734.24,No,
itsm managed services,30,UNSPECIFIED,0,,,No,
itil certification test,30,MEDIUM,62,146.13,587.25,No,
itil foundation book,30,HIGH,100,64.55,1483.73,No,
itil voucher,30,HIGH,75,194.25,883.06,No,
itil strategist,30,MEDIUM,48,192.75,1457.73,No,
itil itsm certification,30,HIGH,67,184.90,622.18,No,
itil sla standards,30,MEDIUM,52,454.53,1480.14,No,
itil csi,30,LOW,15,,,No,
itil managing professional certification,30,MEDIUM,51,104.00,628.46,No,
itil cloud,30,LOW,15,753.07,1685.44,No,
itil governance,30,MEDIUM,38,297.64,1335.80,No,
itil foundation level certification,30,LOW,23,,,No,
itil 4 high velocity it,30,LOW,24,,,No,
itil certification online free,30,MEDIUM,49,110.11,511.91,No,
pmp itil,30,LOW,13,145.24,538.80,No,
itil course online free,30,MEDIUM,49,110.11,511.91,No,
itil v4 cert,30,HIGH,75,273.44,1195.97,No,
itil strategy,30,MEDIUM,48,192.75,1457.73,No,
itil 4 strategic leader certification,30,MEDIUM,59,225.02,836.45,No,
get itil certified,30,HIGH,77,213.06,921.61,No,
itil foundation service management,30,HIGH,67,280.61,1011.27,No,
itil foundation exam cost pearson vue,30,MEDIUM,59,114.51,443.38,No,
peoplecert itil exam,30,MEDIUM,47,357.71,7199.29,No,
itil specialist certification,30,MEDIUM,58,248.37,745.31,No,
itil 4 foundation exam voucher free,30,MEDIUM,61,116.55,251.02,No,
itil 4 acquiring and managing cloud services,30,LOW,0,,,No,
itil technology,30,LOW,30,361.29,2376.65,No,
it service management itil,20,MEDIUM,60,598.87,3032.26,No,
itil 4 service management,20,MEDIUM,54,,,No,
itil foundation level,20,MEDIUM,49,203.51,1139.65,No,
itil 4 mock exam,20,MEDIUM,64,118.93,473.36,No,
itil v4 managing professional,20,MEDIUM,53,730.64,1683.65,No,
itil 4 specialist,20,HIGH,71,293.16,1414.70,No,
itil 4 leader digital and it strategy,20,HIGH,74,377.43,2071.84,No,
itil 4 training courses,20,LOW,19,257.10,791.62,No,
service configuration management itil 4,20,LOW,25,,,No,
itil 4 foundation course online,20,LOW,8,,,No,
itil operations management,20,MEDIUM,43,,,No,
itil service management practices,20,MEDIUM,59,512.81,1942.59,No,
itil course cost,20,MEDIUM,49,139.59,676.45,No,
itil specialist,20,MEDIUM,43,131.51,690.31,No,
itil intermediate,20,LOW,32,243.85,516.39,No,
itil 4 foundation mock exam,20,LOW,9,110.15,637.42,No,
itil 4 foundation cost,20,MEDIUM,37,113.86,551.36,No,
itil udemy,20,MEDIUM,44,66.34,771.93,No,
itil v4 certification path,20,MEDIUM,59,259.09,946.31,No,
itil framework overview,20,LOW,12,,,No,
itil fundamentals certification,20,HIGH,68,138.06,410.60,No,
itil 4 master,20,MEDIUM,37,243.85,1072.23,No,
itil strategist direct plan and improve,20,HIGH,79,380.34,1172.64,No,
itil 4 change enablement,20,MEDIUM,57,407.10,1992.95,No,
itil v4 cost,20,LOW,32,,,No,
siam itil,20,LOW,13,,,No,
itil financial management,20,MEDIUM,38,160.94,1073.89,No,
itil change process,20,MEDIUM,63,270.75,694.81,No,
itil 4 strategist,20,HIGH,82,161.64,1429.04,No,
itil workflow,20,LOW,33,397.16,2484.24,No,
itil itsm processes,20,HIGH,68,575.56,1958.98,No,
itil project management certification,20,MEDIUM,58,192.75,787.74,No,
cbt nuggets itil,20,MEDIUM,40,161.37,1367.18,No,
itil 4 foundation certificate in it service management,20,MEDIUM,54,368.57,1342.25,No,
peoplecert itil v4,20,MEDIUM,56,384.60,7438.67,No,
itil 4 foundation voucher,20,HIGH,76,210.72,2427.31,No,
itil v4 practice test,20,MEDIUM,62,120.96,1018.26,No,
free itil 4 practice exam,20,LOW,29,138.43,492.19,No,
itil deployment management,20,LOW,21,,,No,
itsm release management,20,HIGH,69,1113.47,4550.06,No,
itil foundation 4 certification,20,MEDIUM,60,233.09,792.52,No,
itil foundation training and certification,20,HIGH,100,297.64,1091.17,No,
dion training itil,20,HIGH,82,208.89,956.71,No,
itil 4 foundation exam only,20,HIGH,81,167.06,537.91,No,
udemy itil 4,20,HIGH,79,70.82,727.97,No,
itil v4 foundation practice exam,20,MEDIUM,65,139.86,800.59,No,
itil 4 peoplecert,20,MEDIUM,52,323.64,15477.20,No,
itil disaster recovery,20,LOW,18,,,No,
itil service catalogue management,20,MEDIUM,57,,,No,
itil based processes,20,MEDIUM,54,183.79,1961.25,No,
itil training cost,20,MEDIUM,49,139.59,676.45,No,
itil 4 voucher,20,HIGH,100,251.92,876.50,No,
itil v4 certification training,20,LOW,29,,,No,
itil direct plan improve,20,HIGH,69,135.80,2143.58,No,
itil strategic leader certification,20,HIGH,72,219.65,875.89,No,
itil 4 practice exam free,20,LOW,30,4.44,192.75,No,
itil operations,20,MEDIUM,34,262.68,798.79,No,
itil 4 foundation syllabus,20,MEDIUM,42,259.99,937.75,No,
itil high velocity it,20,MEDIUM,36,,,No,
itil implementation,20,LOW,29,,,No,
itil course price,20,MEDIUM,49,139.59,676.45,No,
itil intermediate certification,20,MEDIUM,47,217.61,656.25,No,
itil 4 definitions,20,MEDIUM,51,309.30,1349.50,No,
itil business relationship management,20,MEDIUM,39,382.81,4452.98,No,
itil testing center,20,MEDIUM,45,233.09,1071.51,No,
latest itil certification,20,HIGH,73,153.30,502.94,No,
itil 4 specialist drive stakeholder value,20,LOW,25,,,No,
itil 4 specialist high velocity it,20,MEDIUM,50,,,No,
itil exam preparation,20,MEDIUM,50,158.20,1067.38,No,
itil certification udemy,20,MEDIUM,64,102.57,646.39,No,
itil and devops,20,LOW,12,,,No,
jason dion itil 4,20,HIGH,75,211.03,888.93,No,
itil certification exam online,20,MEDIUM,43,,,No,
microsoft itil certification,20,MEDIUM,34,236.68,826.84,No,
itil v,20,LOW,25,210.68,772.79,No,
itil managing professional courses,20,UNSPECIFIED,0,,,No,
itil ticketing,20,MEDIUM,47,1001.31,2641.98,No,
pearson vue itil,20,MEDIUM,57,274.33,965.54,No,
itil 4 master certification,20,LOW,14,,,No,
value insights itil 4,20,MEDIUM,38,199.03,1008.93,No,
itil f,20,MEDIUM,52,212.47,1382.22,No,
deployment management itil 4,20,LOW,14,,,No,
itil and itsm processes,20,HIGH,68,575.56,1958.98,No,
itil assessment,20,LOW,30,358.60,1961.61,No,
itil emergency change,20,LOW,12,139.86,1386.01,No,
itil organization,20,MEDIUM,35,711.83,2099.54,No,
itil certification program,20,LOW,16,311.09,679.56,No,
service asset and configuration management itil,20,MEDIUM,36,,,No,
itil managing professional training,20,HIGH,86,,,No,
itil 4 practitioner,20,HIGH,71,248.33,1961.89,No,
itil drive stakeholder value,20,UNSPECIFIED,0,,,No,
itil foundation peoplecert,20,HIGH,72,290.47,13316.24,No,
itil certification exam registration,20,HIGH,89,230.40,671.49,No,
itil certification book,20,HIGH,100,80.69,257.15,No,
itil framework and processes,20,MEDIUM,50,,,No,
itil 4 certification practice test,20,MEDIUM,44,160.04,534.75,No,
itil 4 release and deployment management,20,LOW,19,590.80,2160.60,No,
itil foundation certification exam cost,20,MEDIUM,40,204.40,729.76,No,
comptia itil certification,20,MEDIUM,57,117.62,424.34,No,
itil certification provider,20,LOW,2,,,No,
itil 4 drive stakeholder value,20,HIGH,71,,,No,
peoplecert itil 4 foundation exam cost,20,MEDIUM,66,364.21,24590.35,No,
schedule itil exam,20,MEDIUM,50,253.71,1442.10,No,
itil dsv,20,MEDIUM,39,,,No,
itil incident management workflow,20,MEDIUM,46,563.01,1781.81,No,
itil 4 foundation exam voucher cost,20,HIGH,70,172.13,1320.13,No,
itil qualification,10,MEDIUM,54,148.82,553.15,No,
itil v4 course,10,MEDIUM,61,168.54,1043.54,No,
itil v4 foundation course,10,LOW,7,,,No,
itil v4 change management,10,MEDIUM,63,455.05,1960.86,No,
change management itil v4,10,LOW,24,,,No,
itil v4 incident management,10,MEDIUM,43,,,No,
asset management itil v4,10,LOW,29,,,No,
itil v4 service management,10,LOW,32,,,No,
book itil 4 foundation exam,10,LOW,0,,,No,
itil 4 foundation online course,10,LOW,0,,,No,
itil course and certification,10,HIGH,86,312.14,1117.05,No,
itil v3 v4,10,MEDIUM,49,184.68,926.10,No,
itil saas,10,HIGH,100,,,No,
itil v4 training and certification,10,HIGH,71,385.01,1298.15,No,
itil course fees,10,HIGH,100,,,No,
itil certification near me,10,HIGH,82,281.50,838.71,No,
itil 4 managing professional transition,10,MEDIUM,46,,,No,
free itil 4 training,10,HIGH,67,102.77,1702.48,No,
simplilearn itil v4,10,LOW,24,,,No,
itil foundation qualification,10,MEDIUM,43,,,No,
itil 4 training and certification,10,MEDIUM,63,821.21,2016.26,No,
qa itil v4 foundation,10,UNSPECIFIED,0,,,No,
best itil certification online,10,LOW,0,,,No,
itil ticket management,10,MEDIUM,36,,,No,
itil v4 online training,10,LOW,0,,,No,
jira itil,10,MEDIUM,48,571.08,2057.50,No,
global knowledge itil 4 foundation,10,HIGH,80,138.96,1524.07,No,
freshservice itil,10,MEDIUM,54,1315.28,2352.45,No,
itil data governance,10,HIGH,93,,,No,
it asset management itil 4,10,LOW,14,,,No,
itil 4 foundation exam full preparation,10,LOW,0,,,No,
itil 4 service management practices,10,LOW,29,,,No,
register for itil 4 foundation exam,10,MEDIUM,61,315.57,1046.23,No,
pink elephant itil 4,10,MEDIUM,39,342.47,536.04,No,
itil 4 service desk,10,LOW,0,,,No,
itil issue management,10,MEDIUM,43,,,No,
itil 4 release management,10,LOW,18,1496.28,4778.02,No,
itil 4 digital and it strategy,10,MEDIUM,51,441.41,2299.02,No,
linkedin learning itil,10,LOW,13,,,No,
itsm itil v4,10,MEDIUM,46,,,No,
pluralsight itil,10,MEDIUM,38,,,No,
itil foundation kurs,10,LOW,0,,,No,
itil v4 change enablement,10,MEDIUM,33,,,No,
